Arquivo;Modelo;Accuracy;F1-score (weighted);ROC-AUC (weighted, ovr);Precision (weighted);Recall (weighted)
mega_dataset_filtrado.csv;XGBoost;0.48210526315789476;0.47186880186121233;0.7450474517902879;0.4656577979670998;0.48210526315789476
mega_dataset_filtrado.csv;LightGBM;0.49157894736842106;0.4834297354146246;0.7427717094387366;0.478122878442688;0.49157894736842106
mega_dataset_filtrado.csv;RandomForest;0.46210526315789474;0.45270012483353184;0.7331430881194774;0.4482607465699685;0.46210526315789474
mega_dataset_filtrado.csv;LogisticRegression;0.44526315789473686;0.44000354614990833;0.6904010089079504;0.4395440999501871;0.44526315789473686
mega_dataset_filtrado.csv;MLP;0.4231578947368421;0.4197295469134305;0.6804723304445762;0.41729687871576626;0.4231578947368421
microdados_filtrado_2022.csv;LightGBM;0.46827794561933533;0.46839390406627623;0.733410457041247;0.4695675092981387;0.46827794561933533
microdados_filtrado_2022.csv;XGBoost;0.4652567975830816;0.46375703128008333;0.7303724092571434;0.46353227053964313;0.4652567975830816
microdados_filtrado_2022.csv;RandomForest;0.4169184290030212;0.41897487959766994;0.7111794491804467;0.4217162673351145;0.4169184290030212
microdados_filtrado_2022.csv;MLP;0.4380664652567976;0.4351966891412851;0.6916324227689317;0.4334188985695499;0.4380664652567976
microdados_filtrado_2022.csv;LogisticRegression;0.4169184290030212;0.4180375438764072;0.6909428361951078;0.41978242361372287;0.4169184290030212
microdados_filtrado_2023.csv;RandomForest;0.43119266055045874;0.41635909135565724;0.7026130954271583;0.4126451027218464;0.43119266055045874
microdados_filtrado_2023.csv;XGBoost;0.4434250764525994;0.43799033654536135;0.6942455186135241;0.4362922881556816;0.4434250764525994
microdados_filtrado_2023.csv;LightGBM;0.42813455657492355;0.4239426866943645;0.6907377081880195;0.423239319732365;0.42813455657492355
microdados_filtrado_2023.csv;LogisticRegression;0.39755351681957185;0.39695858456420985;0.6682575621477792;0.3965243805031562;0.39755351681957185
microdados_filtrado_2023.csv;MLP;0.3853211009174312;0.38720547368969643;0.6458950478704866;0.38929526697110794;0.3853211009174312
microdados_filtrado_2024.csv;RandomForest;0.4880546075085324;0.4809638598034502;0.7519718739483837;0.4799044079365997;0.4880546075085324
microdados_filtrado_2024.csv;XGBoost;0.4948805460750853;0.4879812021612876;0.7374750189005865;0.48994799094917385;0.4948805460750853
microdados_filtrado_2024.csv;LightGBM;0.46757679180887374;0.46078243995315127;0.7268408229614151;0.45713341855293704;0.46757679180887374
microdados_filtrado_2024.csv;LogisticRegression;0.45051194539249145;0.4497185220578304;0.6989707573064675;0.449437358360301;0.45051194539249145
microdados_filtrado_2024.csv;MLP;0.3924914675767918;0.3887668652350548;0.6677876223166173;0.385945127562883;0.3924914675767918
