arquivo;modelo;R2;MAE;RMSE
mega_dataset_filtrado_simples.csv;XGBoost;0.2731814797385341;0.2968795134191641;0.4897327196303291
mega_dataset_filtrado_simples.csv;LightGBM;0.27231191433417556;0.2986918040378726;0.4900255900798036
mega_dataset_filtrado_simples.csv;RandomForest;0.2424803587077804;0.30280224294730684;0.49996899982619025
mega_dataset_filtrado_simples.csv;MLP;0.09409541896194085;0.3492333612399289;0.5467481926112904
microdados_filtrado_2022.csv;LightGBM;0.0751268499332769;0.32756620808543196;1.1188295066908969
microdados_filtrado_2022.csv;XGBoost;0.06571662840898629;0.3261218860632215;1.1245069275436776
microdados_filtrado_2022.csv;MLP;0.057368889587328664;0.36645535074398033;1.1295194405402134
microdados_filtrado_2022.csv;RandomForest;0.03226420210980996;0.3409025888043623;1.1444616090336421
microdados_filtrado_2023.csv;LightGBM;0.2978087787337722;0.2628082793152822;0.40160857047031295
microdados_filtrado_2023.csv;XGBoost;0.2735732249292606;0.27016333665087483;0.40848037490334915
microdados_filtrado_2023.csv;RandomForest;0.25592250873790057;0.27358036297287114;0.4134132178209165
microdados_filtrado_2023.csv;MLP;-0.7602284905472256;0.44112450099200495;0.6358574989006017
microdados_filtrado_2024.csv;LightGBM;0.284450179312718;0.31259476340471926;0.5725789673367687
microdados_filtrado_2024.csv;XGBoost;0.27780267337883124;0.30222189696378937;0.5752324673333706
microdados_filtrado_2024.csv;RandomForest;0.24434282126089724;0.3071487237795028;0.5884070378052744
microdados_filtrado_2024.csv;MLP;-0.049476446307140876;0.4011937307093962;0.6934286805972553
